epoch,lr-AdamW,step,train_acc,train_f1_macro,train_loss,val_acc,val_f1_macro,val_f1_weighted,val_loss
,0.0055892234544969634,0,,,,,,,
0,,89,,,,0.36666667461395264,0.33473509550094604,0.35368186235427856,0.10019528120756149
0,,89,0.5222222208976746,0.44997021555900574,0.14842061698436737,,,,
,0.0055892234544969634,90,,,,,,,
1,,179,,,,0.3333333432674408,0.3419685363769531,0.2944013476371765,0.09331196546554565
1,,179,0.6555555462837219,0.5955289006233215,0.07978172600269318,,,,
,0.0055892234544969634,180,,,,,,,
2,,269,,,,0.47777777910232544,0.44744014739990234,0.5374338626861572,0.06482890248298645
2,,269,0.6625000238418579,0.6094368696212769,0.06876020133495331,,,,
,0.0055892234544969634,270,,,,,,,
3,,359,,,,0.4277777671813965,0.4174802899360657,0.465850830078125,0.07535059005022049
3,,359,0.6652777791023254,0.6189475655555725,0.06261469423770905,,,,
,0.0055892234544969634,360,,,,,,,
4,,449,,,,0.5777778029441833,0.5372058153152466,0.6325785517692566,0.0688798725605011
4,,449,0.6805555820465088,0.6543296575546265,0.08040469139814377,,,,
,0.0055892234544969634,450,,,,,,,
5,,539,,,,0.5388888716697693,0.5175567269325256,0.5684423446655273,0.0721496194601059
5,,539,0.7208333611488342,0.6942507028579712,0.052327875047922134,,,,
,0.0055892234544969634,540,,,,,,,
6,,629,,,,0.550000011920929,0.510604739189148,0.6104024648666382,0.06325098872184753
6,,629,0.7333333492279053,0.6949964165687561,0.048758573830127716,,,,
,0.0055892234544969634,630,,,,,,,
7,,719,,,,0.5666666626930237,0.5115333795547485,0.6272218227386475,0.06157183647155762
7,,719,0.7513889074325562,0.7175710201263428,0.04040481150150299,,,,
,0.0055892234544969634,720,,,,,,,
8,,809,,,,0.5722222328186035,0.5233502984046936,0.6292800903320312,0.06940611451864243
8,,809,0.7777777910232544,0.755988359451294,0.04358934983611107,,,,
,0.0055892234544969634,810,,,,,,,
9,,899,,,,0.7333333492279053,0.6078120470046997,0.7699600458145142,0.05433610454201698
9,,899,0.7902777791023254,0.7841731905937195,0.033299148082733154,,,,
,0.0055892234544969634,900,,,,,,,
10,,989,,,,0.5666666626930237,0.512999415397644,0.6223803758621216,0.07262853533029556
10,,989,0.7819444537162781,0.7573758363723755,0.04103505611419678,,,,
,0.0055892234544969634,990,,,,,,,
11,,1079,,,,0.7388888597488403,0.6441950798034668,0.7732561826705933,0.0797867551445961
11,,1079,0.7833333611488342,0.7656105756759644,0.04014125466346741,,,,
,0.0055892234544969634,1080,,,,,,,
12,,1169,,,,0.7166666388511658,0.6425782442092896,0.7575063109397888,0.0666172131896019
12,,1169,0.7819444537162781,0.7660148739814758,0.04782693088054657,,,,
,0.0055892234544969634,1170,,,,,,,
13,,1259,,,,0.6555555462837219,0.5925589799880981,0.6992689967155457,0.08924365788698196
13,,1259,0.793055534362793,0.7749416828155518,0.0394694022834301,,,,
,0.0055892234544969634,1260,,,,,,,
14,,1349,,,,0.5666666626930237,0.5342522859573364,0.602532684803009,0.07920460402965546
14,,1349,0.8013888597488403,0.7825226783752441,0.03051590733230114,,,,
,0.0055892234544969634,1350,,,,,,,
15,,1439,,,,0.6666666865348816,0.5715067386627197,0.7183607816696167,0.058132436126470566
15,,1439,0.8111110925674438,0.7880851626396179,0.02985110506415367,,,,
,0.0055892234544969634,1440,,,,,,,
16,,1529,,,,0.699999988079071,0.6437507271766663,0.7425501942634583,0.06204601377248764
16,,1529,0.8472222089767456,0.8445879817008972,0.0229167602956295,,,,
,0.0055892234544969634,1530,,,,,,,
17,,1619,,,,0.7055555582046509,0.6160687208175659,0.7464772462844849,0.059956375509500504
17,,1619,0.8208333253860474,0.8059797286987305,0.03299888223409653,,,,
,0.0027946117272484817,1620,,,,,,,
18,,1709,,,,0.7111111283302307,0.6233946681022644,0.7523545026779175,0.059191085398197174
18,,1709,0.8472222089767456,0.837886393070221,0.026197295635938644,,,,
,0.0027946117272484817,1710,,,,,,,
19,,1799,,,,0.6888889074325562,0.6164101362228394,0.7311240434646606,0.06662048399448395
19,,1799,0.8527777791023254,0.845868706703186,0.02616921253502369,,,,
,0.0027946117272484817,1800,,,,,,,
20,,1889,,,,0.699999988079071,0.6230159997940063,0.7409750819206238,0.06313543021678925
20,,1889,0.8444444537162781,0.8308444023132324,0.023241810500621796,,,,
,0.0027946117272484817,1890,,,,,,,
21,,1979,,,,0.7277777791023254,0.6428024172782898,0.7669326066970825,0.05633305385708809
21,,1979,0.8305555582046509,0.8246139883995056,0.03231605142354965,,,,
,0.0027946117272484817,1980,,,,,,,
22,,2069,,,,0.699999988079071,0.5945161581039429,0.7411770820617676,0.05687011033296585
22,,2069,0.8388888835906982,0.8362102508544922,0.023252861574292183,,,,
,0.0027946117272484817,2070,,,,,,,
23,,2159,,,,0.6666666865348816,0.6231242418289185,0.7099217176437378,0.06631477922201157
23,,2159,0.8611111044883728,0.8584084510803223,0.023418154567480087,,,,
,0.0013973058636242409,2160,,,,,,,
24,,2249,,,,0.6944444179534912,0.6004025936126709,0.7386189699172974,0.05594060570001602
24,,2249,0.8569444417953491,0.843269407749176,0.028512030839920044,,,,
,0.0013973058636242409,2250,,,,,,,
25,,2339,,,,0.6777777671813965,0.62356036901474,0.7213935852050781,0.06465184688568115
25,,2339,0.8694444298744202,0.863774299621582,0.020329488441348076,,,,
,0.0013973058636242409,2340,,,,,,,
26,,2429,,,,0.699999988079071,0.5994899868965149,0.7400481104850769,0.059071656316518784
26,,2429,0.8708333373069763,0.86558997631073,0.020424652844667435,,,,
,0.0013973058636242409,2430,,,,,,,
27,,2519,,,,0.6944444179534912,0.6366193294525146,0.7329203486442566,0.06164775416254997
27,,2519,0.8666666746139526,0.8482538461685181,0.02393772266805172,,,,
,0.0013973058636242409,2520,,,,,,,
28,,2609,,,,0.6944444179534912,0.6089907884597778,0.7300930023193359,0.06633509695529938
28,,2609,0.8500000238418579,0.8405466079711914,0.02589244768023491,,,,
,0.0013973058636242409,2610,,,,,,,
29,,2699,,,,0.7777777910232544,0.6774975061416626,0.8058245182037354,0.05909291282296181
29,,2699,0.8666666746139526,0.8622570633888245,0.019943203777074814,,,,
,0.0013973058636242409,2700,,,,,,,
30,,2789,,,,0.699999988079071,0.6520079374313354,0.7422834634780884,0.059682782739400864
30,,2789,0.8805555701255798,0.8664382696151733,0.01855911873281002,,,,
,0.0013973058636242409,2790,,,,,,,
31,,2879,,,,0.75,0.6736177206039429,0.7849239706993103,0.057541511952877045
31,,2879,0.8680555820465088,0.85463547706604,0.02493620105087757,,,,
,0.0013973058636242409,2880,,,,,,,
32,,2969,,,,0.699999988079071,0.618976354598999,0.7379014492034912,0.06638925522565842
32,,2969,0.875,0.8718938827514648,0.02052001841366291,,,,
,0.0013973058636242409,2970,,,,,,,
33,,3059,,,,0.7277777791023254,0.6474632024765015,0.7633360624313354,0.05550457537174225
33,,3059,0.8611111044883728,0.8553548455238342,0.02706511877477169,,,,
,0.0013973058636242409,3060,,,,,,,
34,,3149,,,,0.7555555701255798,0.6613687872886658,0.7870126366615295,0.058535102754831314
34,,3149,0.8652777671813965,0.85756915807724,0.02660788781940937,,,,
,0.0013973058636242409,3150,,,,,,,
35,,3239,,,,0.6944444179534912,0.6163777112960815,0.7351114749908447,0.06669561564922333
35,,3239,0.8680555820465088,0.8586259484291077,0.022452017292380333,,,,
,0.0006986529318121204,3240,,,,,,,
36,,3329,,,,0.7444444298744202,0.6670389175415039,0.7795030474662781,0.0639365017414093
36,,3329,0.8652777671813965,0.8624164462089539,0.022440552711486816,,,,
,0.0006986529318121204,3330,,,,,,,
37,,3419,,,,0.7388888597488403,0.6714122295379639,0.7747446298599243,0.05984802916646004
37,,3419,0.8708333373069763,0.8634740114212036,0.020331712439656258,,,,
,0.0006986529318121204,3420,,,,,,,
38,,3509,,,,0.7444444298744202,0.641934871673584,0.7773259282112122,0.06381439417600632
38,,3509,0.887499988079071,0.8798043727874756,0.01889352686703205,,,,
,0.0006986529318121204,3510,,,,,,,
39,,3599,,,,0.7666666507720947,0.6760884523391724,0.7952006459236145,0.056122832000255585
39,,3599,0.8680555820465088,0.8661521077156067,0.023272302001714706,,,,
,0.0006986529318121204,3600,,,,,,,
40,,3689,,,,0.75,0.6741071343421936,0.7855952382087708,0.05735164135694504
40,,3689,0.8638888597488403,0.8614349365234375,0.020098131150007248,,,,
,0.0006986529318121204,3690,,,,,,,
41,,3779,,,,0.7111111283302307,0.6315646171569824,0.7521968483924866,0.06152181699872017
41,,3779,0.8736110925674438,0.867619514465332,0.02090832218527794,,,,
,0.0003493264659060602,3780,,,,,,,
42,,3869,,,,0.7833333611488342,0.6869814991950989,0.8103112578392029,0.05859338492155075
42,,3869,0.8888888955116272,0.8825031518936157,0.016712158918380737,,,,
,0.0003493264659060602,3870,,,,,,,
43,,3959,,,,0.7277777791023254,0.6223074793815613,0.7622085809707642,0.07188581675291061
43,,3959,0.8916666507720947,0.8855985403060913,0.01808101125061512,,,,
,0.0003493264659060602,3960,,,,,,,
44,,4049,,,,0.7166666388511658,0.624732255935669,0.7559894323348999,0.06257205456495285
44,,4049,0.875,0.8634085655212402,0.019931215792894363,,,,
,0.0003493264659060602,4050,,,,,,,
45,,4139,,,,0.75,0.6288142204284668,0.7822859287261963,0.058121103793382645
45,,4139,0.862500011920929,0.8512438535690308,0.021280888468027115,,,,
,0.0003493264659060602,4140,,,,,,,
46,,4229,,,,0.7277777791023254,0.6527571678161621,0.7647336721420288,0.06998074054718018
46,,4229,0.8638888597488403,0.8555780649185181,0.022790782153606415,,,,
,0.0003493264659060602,4230,,,,,,,
47,,4319,,,,0.75,0.6659802198410034,0.7838078737258911,0.05476769804954529
47,,4319,0.8527777791023254,0.845015287399292,0.020013980567455292,,,,
,0.0003493264659060602,4320,,,,,,,
48,,4409,,,,0.7444444298744202,0.6803848743438721,0.7787468433380127,0.05921553447842598
48,,4409,0.8722222447395325,0.8700393438339233,0.02388695254921913,,,,
,0.0001746632329530301,4410,,,,,,,
49,,4499,,,,0.7444444298744202,0.6415895819664001,0.7753450870513916,0.060304854065179825
49,,4499,0.8708333373069763,0.8635959625244141,0.01969611831009388,,,,
,0.0001746632329530301,4500,,,,,,,
50,,4589,,,,0.7333333492279053,0.6375672221183777,0.7700417637825012,0.05529304966330528
50,,4589,0.8638888597488403,0.8596726059913635,0.01773250102996826,,,,
,0.0001746632329530301,4590,,,,,,,
51,,4679,,,,0.7555555701255798,0.6668788194656372,0.7886414527893066,0.06061733141541481
51,,4679,0.8833333253860474,0.876158595085144,0.018753157928586006,,,,
,0.0001746632329530301,4680,,,,,,,
52,,4769,,,,0.7666666507720947,0.689056396484375,0.79618901014328,0.05930210277438164
52,,4769,0.8666666746139526,0.8607231378555298,0.01928902603685856,,,,
,0.0001746632329530301,4770,,,,,,,
53,,4859,,,,0.7555555701255798,0.6566938161849976,0.7875139117240906,0.05886987969279289
53,,4859,0.8694444298744202,0.8663555383682251,0.018002774566411972,,,,
,0.0001746632329530301,4860,,,,,,,
54,,4949,,,,0.7222222089767456,0.6328725218772888,0.7590923309326172,0.06235961243510246
54,,4949,0.8777777552604675,0.8731441497802734,0.020470885559916496,,,,
,0.0001746632329530301,4950,,,,,,,
55,,5039,,,,0.7388888597488403,0.6672536134719849,0.7728472948074341,0.0631496012210846
55,,5039,0.8694444298744202,0.8550276756286621,0.01804232783615589,,,,
,0.0001746632329530301,5040,,,,,,,
56,,5129,,,,0.75,0.6588454842567444,0.7837871313095093,0.05585186928510666
56,,5129,0.8805555701255798,0.8755346536636353,0.018212642520666122,,,,
,0.0001746632329530301,5130,,,,,,,
57,,5219,,,,0.7277777791023254,0.649863064289093,0.7672986388206482,0.05986187234520912
57,,5219,0.875,0.8671173453330994,0.019513819366693497,,,,
,0.0001746632329530301,5220,,,,,,,
58,,5309,,,,0.7833333611488342,0.6802053451538086,0.8082900643348694,0.06697601824998856
58,,5309,0.8958333134651184,0.8893861770629883,0.015456851571798325,,,,
,8.733161647651505e-05,5310,,,,,,,
59,,5399,,,,0.7388888597488403,0.638567328453064,0.7728174924850464,0.07384004443883896
59,,5399,0.8611111044883728,0.8599348068237305,0.01805938594043255,,,,
,8.733161647651505e-05,5400,,,,,,,
60,,5489,,,,0.7611111402511597,0.6520771384239197,0.7887624502182007,0.06576509028673172
60,,5489,0.894444465637207,0.8916171789169312,0.018068887293338776,,,,
,8.733161647651505e-05,5490,,,,,,,
61,,5579,,,,0.7722222208976746,0.6821345090866089,0.8019325733184814,0.06721588969230652
61,,5579,0.8694444298744202,0.8567744493484497,0.01856570690870285,,,,
,8.733161647651505e-05,5580,,,,,,,
62,,5669,,,,0.75,0.6588454842567444,0.7837871313095093,0.06203163042664528
62,,5669,0.8708333373069763,0.8689526319503784,0.018519209697842598,,,,
,8.733161647651505e-05,5670,,,,,,,
63,,5759,,,,0.7444444298744202,0.6399084329605103,0.7758450508117676,0.060797110199928284
63,,5759,0.9111111164093018,0.9076347351074219,0.019785167649388313,,,,
,8.733161647651505e-05,5760,,,,,,,
64,,5849,,,,0.7222222089767456,0.6489453315734863,0.7620800733566284,0.06276635825634003
64,,5849,0.8972222208976746,0.8944989442825317,0.01827882044017315,,,,
,4.366580823825753e-05,5850,,,,,,,
65,,5939,,,,0.7555555701255798,0.6372740268707275,0.7837791442871094,0.06590554863214493
65,,5939,0.8902778029441833,0.8745531439781189,0.019839514046907425,,,,
,4.366580823825753e-05,5940,,,,,,,
66,,6029,,,,0.7277777791023254,0.6583549976348877,0.764303982257843,0.05730069428682327
66,,6029,0.8708333373069763,0.8651171922683716,0.018938349559903145,,,,
,4.366580823825753e-05,6030,,,,,,,
67,,6119,,,,0.7166666388511658,0.6450707316398621,0.7578441500663757,0.06392896175384521
67,,6119,0.8666666746139526,0.8701909780502319,0.02052575908601284,,,,
,4.366580823825753e-05,6120,,,,,,,
68,,6209,,,,0.7333333492279053,0.659769594669342,0.768187940120697,0.06383304297924042
68,,6209,0.8722222447395325,0.8639177083969116,0.018474893644452095,,,,
